La HYDROXY COMPLEX,,,,,,,,,
Wavelength (nm),LaHL1,LaHL2,LaHL3,NdHL1,NdHL2,NdHHL3,DyHL1,DyHL2,DyHL3
500,0.345742494,0.941114962,0.167430326,0.018460212,0.186429292,0.165707633,0.15525353,0.173880145,0.799477041
499,0.346005946,0.941880047,0.168293342,0.018089848,0.186587229,0.165717214,0.155411512,0.174622536,0.802765369
498,0.345516503,0.943599463,0.168985218,0.018428909,0.18628414,0.16606991,0.156594619,0.175292566,0.807462037
497,0.34608382,0.944834948,0.169099018,0.019033229,0.186675385,0.166630462,0.156700805,0.176461056,0.811000228
496,0.346835464,0.946508884,0.169797242,0.018621763,0.186761975,0.166760415,0.157205224,0.177401245,0.815741718
495,0.347138763,0.948062837,0.1708325,0.019085944,0.187257096,0.166900069,0.157639325,0.178812847,0.820858955
494,0.347382009,0.949202359,0.171601832,0.019129198,0.187630281,0.167599246,0.158650786,0.179829583,0.824808717
493,0.347769529,0.95043391,0.172276482,0.018965757,0.18804203,0.167410851,0.15938668,0.181031063,0.831072092
492,0.348187,0.952239335,0.173108265,0.019145483,0.18809934,0.167843655,0.160110936,0.181960389,0.835535526
491,0.348267913,0.953739405,0.174399734,0.019381935,0.188817933,0.168546081,0.160919726,0.183908328,0.840810001
490,0.347994745,0.95552969,0.174805969,0.019437831,0.189507753,0.168659613,0.162208155,0.184735775,0.845622182
489,0.34890011,0.956878066,0.175588936,0.019770199,0.189400211,0.168650568,0.162792966,0.186053723,0.850023329
488,0.350353897,0.958940566,0.176848143,0.019801274,0.189606682,0.169422776,0.163515732,0.187445819,0.855219901
487,0.350065768,0.960184455,0.178169057,0.019895922,0.190175176,0.169819206,0.165275917,0.188566908,0.86006707
486,0.350556433,0.961585045,0.178971559,0.020398963,0.190404788,0.169758394,0.16545476,0.18964687,0.864973486
485,0.35134247,0.962731063,0.18052654,0.020267153,0.190929323,0.170312315,0.166366652,0.191532135,0.870315731
484,0.350516886,0.964315295,0.181160212,0.020316141,0.191342071,0.17032063,0.167475015,0.193168238,0.876067579
483,0.351006895,0.965843976,0.182785988,0.020570545,0.1920432,0.170304507,0.168449655,0.194494844,0.880613625
482,0.351046115,0.967570245,0.184104547,0.020796666,0.19156979,0.170545027,0.169051379,0.195800245,0.886630118
481,0.352003843,0.968654215,0.185885862,0.020681459,0.192881599,0.171107635,0.17045556,0.197118029,0.893001914
480,0.352003008,0.970306993,0.186310768,0.020877842,0.192841187,0.171442106,0.171204731,0.199051008,0.898372591
479,0.35231328,0.971836984,0.188508809,0.021302709,0.19295837,0.172033563,0.172283649,0.200028166,0.905010998
478,0.3528485,0.973576844,0.189630598,0.021288626,0.193489268,0.171871886,0.173648611,0.201803923,0.911801398
477,0.353679419,0.975202024,0.191085994,0.021342974,0.193751201,0.172018036,0.174678192,0.203660443,0.917753279
476,0.354023039,0.976311028,0.193096802,0.020950178,0.194107592,0.172391668,0.175457522,0.205213413,0.923820317
475,0.354230553,0.980113626,0.194824442,0.021996485,0.194902167,0.172367871,0.1774261,0.207118049,0.930662215
474,0.35514921,0.98145479,0.196556941,0.02157766,0.194889545,0.172190785,0.178372368,0.209043548,0.936273277
473,0.35567233,0.981737614,0.199037552,0.021347217,0.195294917,0.172614008,0.179362565,0.210579887,0.942977428
472,0.356124371,0.984097302,0.200870574,0.021541262,0.19561322,0.17313607,0.181350619,0.212435976,0.949455023
