La HYDROXY COMPLEX,,,,,,,,,,,,
Wavelength (nm),LaHL1,LaHL2,LaHL3,NdHL1,NdHL2,NdHHL3,DyHL1,DyHL2,DyHL3,HL1,HL2,HL3
500,0.345742494,0.941114962,0.167430326,0.018460212,0.186429292,0.165707633,0.15525353,0.173880145,0.799477041,0.203811407,0.346649706,0.067584604
499,0.346005946,0.941880047,0.168293342,0.018089848,0.186587229,0.165717214,0.155411512,0.174622536,0.802765369,0.204851583,0.348544926,0.068329439
498,0.345516503,0.943599463,0.168985218,0.018428909,0.18628414,0.16606991,0.156594619,0.175292566,0.807462037,0.205324873,0.349510074,0.067969576
497,0.34608382,0.944834948,0.169099018,0.019033229,0.186675385,0.166630462,0.156700805,0.176461056,0.811000228,0.206329748,0.34941715,0.068186037
496,0.346835464,0.946508884,0.169797242,0.018621763,0.186761975,0.166760415,0.157205224,0.177401245,0.815741718,0.205643252,0.350116462,0.068287723
495,0.347138763,0.948062837,0.1708325,0.019085944,0.187257096,0.166900069,0.157639325,0.178812847,0.820858955,0.205915198,0.350559235,0.068207152
494,0.347382009,0.949202359,0.171601832,0.019129198,0.187630281,0.167599246,0.158650786,0.179829583,0.824808717,0.207252026,0.350846469,0.068757743
493,0.347769529,0.95043391,0.172276482,0.018965757,0.18804203,0.167410851,0.15938668,0.181031063,0.831072092,0.205927521,0.352018565,0.068971805
492,0.348187,0.952239335,0.173108265,0.019145483,0.18809934,0.167843655,0.160110936,0.181960389,0.835535526,0.207182229,0.35125345,0.067857496
491,0.348267913,0.953739405,0.174399734,0.019381935,0.188817933,0.168546081,0.160919726,0.183908328,0.840810001,0.207175344,0.35284099,0.069042966
490,0.347994745,0.95552969,0.174805969,0.019437831,0.189507753,0.168659613,0.162208155,0.184735775,0.845622182,0.207190156,0.353225201,0.06945952
489,0.34890011,0.956878066,0.175588936,0.019770199,0.189400211,0.168650568,0.162792966,0.186053723,0.850023329,0.208005086,0.354012609,0.069485553
488,0.350353897,0.958940566,0.176848143,0.019801274,0.189606682,0.169422776,0.163515732,0.187445819,0.855219901,0.207935631,0.354957223,0.069032982
487,0.350065768,0.960184455,0.178169057,0.019895922,0.190175176,0.169819206,0.165275917,0.188566908,0.86006707,0.208260626,0.355690152,0.070006289
486,0.350556433,0.961585045,0.178971559,0.020398963,0.190404788,0.169758394,0.16545476,0.18964687,0.864973486,0.207581252,0.356419653,0.070062712
485,0.35134247,0.962731063,0.18052654,0.020267153,0.190929323,0.170312315,0.166366652,0.191532135,0.870315731,0.209270194,0.357701182,0.070138
484,0.350516886,0.964315295,0.181160212,0.020316141,0.191342071,0.17032063,0.167475015,0.193168238,0.876067579,0.209418371,0.358256698,0.070324443
483,0.351006895,0.965843976,0.182785988,0.020570545,0.1920432,0.170304507,0.168449655,0.194494844,0.880613625,0.208627403,0.358790159,0.070680723
482,0.351046115,0.967570245,0.184104547,0.020796666,0.19156979,0.170545027,0.169051379,0.195800245,0.886630118,0.209486961,0.35835281,0.070392564
481,0.352003843,0.968654215,0.185885862,0.020681459,0.192881599,0.171107635,0.17045556,0.197118029,0.893001914,0.209435225,0.359176338,0.070989154
480,0.352003008,0.970306993,0.186310768,0.020877842,0.192841187,0.171442106,0.171204731,0.199051008,0.898372591,0.209079489,0.359718442,0.071589716
479,0.35231328,0.971836984,0.188508809,0.021302709,0.19295837,0.172033563,0.172283649,0.200028166,0.905010998,0.209336162,0.36065957,0.071519576
478,0.3528485,0.973576844,0.189630598,0.021288626,0.193489268,0.171871886,0.173648611,0.201803923,0.911801398,0.208683357,0.362084597,0.071803562
477,0.353679419,0.975202024,0.191085994,0.021342974,0.193751201,0.172018036,0.174678192,0.203660443,0.917753279,0.209056497,0.36247313,0.07275369
476,0.354023039,0.976311028,0.193096802,0.020950178,0.194107592,0.172391668,0.175457522,0.205213413,0.923820317,0.208404616,0.362968415,0.072950296
475,0.354230553,0.980113626,0.194824442,0.021996485,0.194902167,0.172367871,0.1774261,0.207118049,0.930662215,0.208935857,0.36452955,0.073357344
474,0.35514921,0.98145479,0.196556941,0.02157766,0.194889545,0.172190785,0.178372368,0.209043548,0.936273277,0.208067522,0.364968389,0.073609412
473,0.35567233,0.981737614,0.199037552,0.021347217,0.195294917,0.172614008,0.179362565,0.210579887,0.942977428,0.208602637,0.366699427,0.073505431
472,0.356124371,0.984097302,0.200870574,0.021541262,0.19561322,0.17313607,0.181350619,0.212435976,0.949455023,0.209048614,0.367270619,0.073677406
471,0.357156128,0.985627294,0.202990294,0.02155285,0.196611524,0.173399791,0.182643265,0.214490265,0.956062555,0.208553717,0.368608624,0.074214563
470,0.356810331,0.986532331,0.205084384,0.02175371,0.19636707,0.173173174,0.183778837,0.216364831,0.963419795,0.208737403,0.369333893,0.074642189
469,0.35765034,0.988891542,0.207552359,0.021666899,0.197151482,0.173640266,0.185339496,0.219303161,0.970483482,0.208278477,0.36958757,0.074812159
468,0.358111203,0.990359843,0.209687322,0.022092458,0.197034076,0.174343661,0.18659471,0.221016169,0.977234364,0.208632216,0.370322943,0.074831374
467,0.35919717,0.993231654,0.212998167,0.022195861,0.198193133,0.174443409,0.187884316,0.223104417,0.98449713,0.208720028,0.370747775,0.074821167
466,0.359898806,0.995275974,0.21503368,0.022214796,0.198243871,0.174627334,0.189809427,0.224791601,0.992282033,0.209541574,0.371955365,0.075335413
465,0.360126823,0.997512639,0.218410909,0.023022993,0.199568227,0.175069302,0.192736328,0.227047861,1.001351357,0.209630102,0.37248686,0.075655371
464,0.360250086,1.000343442,0.221700907,0.023007764,0.19986175,0.175608441,0.193262801,0.229490936,1.009885192,0.210026339,0.373494208,0.075775489
463,0.362012595,1.002710581,0.2249576,0.023192802,0.200131416,0.175333768,0.19574073,0.232351452,1.019997478,0.209542319,0.374331415,0.076639451
462,0.363066346,1.005355358,0.227946848,0.023248374,0.201037556,0.176011115,0.19731006,0.234618232,1.029258728,0.209841982,0.374893636,0.07673572
461,0.363058239,1.008908391,0.231434658,0.023538088,0.201826677,0.177199438,0.199669763,0.23741287,1.039651155,0.209253639,0.375085533,0.076972201
460,0.365091592,1.010080457,0.235167474,0.024157336,0.202872217,0.176936284,0.2023305,0.240639746,1.049581409,0.210041508,0.376336187,0.076836489
459,0.365990281,1.014324307,0.239101917,0.023405323,0.203797296,0.177179709,0.204268456,0.243290737,1.06110096,0.210529745,0.377573431,0.077553153
458,0.365841776,1.016620636,0.242835134,0.023887558,0.20465377,0.177561387,0.206504419,0.245983005,1.072090268,0.21031782,0.37809059,0.077505656
457,0.366878986,1.01971817,0.247713059,0.024077762,0.205256969,0.177603155,0.209610596,0.250419915,1.083093643,0.210409075,0.37924251,0.077598929
456,0.367578596,1.022861958,0.251812011,0.024169488,0.206002638,0.178341031,0.212677866,0.252468228,1.094044805,0.210710228,0.37991634,0.078160234
455,0.369028688,1.025708437,0.256854683,0.024542885,0.20696193,0.178067163,0.215426341,0.256275237,1.105927706,0.211261481,0.38032189,0.077873386
454,0.369799137,1.029262662,0.26143837,0.024588246,0.20822838,0.178586051,0.217638239,0.259744674,1.117561221,0.211214632,0.381472558,0.078522816
453,0.370088548,1.0319556,0.26781106,0.025299205,0.209566057,0.179097235,0.221267119,0.264397711,1.13111043,0.212522477,0.381752789,0.078374892
452,0.371878594,1.03420043,0.272378594,0.025249762,0.210050315,0.179602578,0.224287257,0.26758197,1.145627141,0.213517472,0.382776201,0.079458058
451,0.372847647,1.037768364,0.277665824,0.025314242,0.21136044,0.180429414,0.227299869,0.271092922,1.159309149,0.214220479,0.383581013,0.079447769
450,0.373311967,1.041436315,0.28423065,0.025900418,0.212197959,0.180792853,0.230905041,0.275340438,1.174214363,0.214956984,0.38478744,0.079844929
449,0.374577165,1.045424938,0.29012087,0.026571451,0.214061156,0.181254298,0.234626681,0.280479819,1.189917445,0.215793744,0.386319399,0.080372922
448,0.375787735,1.047833204,0.296046853,0.025795937,0.2150006,0.180781424,0.237944394,0.284357578,1.205754876,0.216531172,0.387125015,0.080407187
447,0.377756625,1.051720262,0.302338213,0.026867632,0.216275498,0.181624204,0.242657632,0.289050013,1.221712589,0.218133941,0.387760371,0.080973379
446,0.37927559,1.055094719,0.309821755,0.026138157,0.217243537,0.182056591,0.246388197,0.29353261,1.237772942,0.218489289,0.389347613,0.08135324
445,0.380144894,1.058225513,0.316567093,0.026305808,0.2186905,0.182509422,0.250299484,0.298762679,1.25594759,0.219278291,0.390754312,0.081728533
444,0.380879909,1.06183219,0.323402613,0.026675625,0.219859988,0.182786897,0.254933536,0.303031504,1.274634838,0.220538512,0.391423047,0.082273394
443,0.382722378,1.065989733,0.331689715,0.027378926,0.221738681,0.183466807,0.25914523,0.30836001,1.293251038,0.221321791,0.392527044,0.083023444
442,0.383752614,1.068720102,0.33924678,0.027437022,0.222896263,0.183652818,0.264540196,0.313081086,1.314128995,0.222391039,0.393811613,0.083583459
441,0.38554576,1.072725296,0.347546071,0.027461343,0.225843042,0.184131995,0.268608064,0.319957376,1.334557414,0.223102436,0.394641489,0.084018476
440,0.387290508,1.076274037,0.356331259,0.028159484,0.226308972,0.184476525,0.274002403,0.324756175,1.355131626,0.223858327,0.395721614,0.083891936
439,0.388875812,1.079817653,0.36520806,0.028339881,0.22733137,0.184959471,0.279011101,0.331511498,1.37760067,0.224044696,0.396895438,0.084156893
438,0.390400082,1.082863212,0.375435054,0.028566213,0.228761509,0.185511902,0.284419209,0.337136895,1.399350524,0.22419636,0.398069352,0.083698951
437,0.391372502,1.087643504,0.383851022,0.029094074,0.230886146,0.18571572,0.29059884,0.343993783,1.422742486,0.225537315,0.398555845,0.083691008
436,0.393147528,1.091925621,0.394909829,0.028748825,0.232756808,0.18587105,0.296417773,0.350156784,1.445735812,0.228036866,0.399288416,0.08360891
435,0.394644886,1.095248103,0.404751867,0.029142572,0.234272525,0.187325507,0.303480178,0.358078063,1.469613433,0.228800356,0.399719894,0.08364211
434,0.396223784,1.100813031,0.416044802,0.02906418,0.235731185,0.187022552,0.310048312,0.365101755,1.494101524,0.229437932,0.4004215,0.083420195
433,0.398486555,1.105441093,0.426917255,0.029223716,0.238324329,0.187329859,0.316938967,0.373259038,1.520445228,0.231487855,0.401238918,0.083512016
432,0.399630249,1.110030413,0.438167095,0.029320579,0.239022642,0.187517896,0.324003637,0.381180912,1.547860742,0.234736353,0.402393848,0.083550856
431,0.402163327,1.113804698,0.4510943,0.029823625,0.242336437,0.187312886,0.331769228,0.389203787,1.574142337,0.236002281,0.402795643,0.083696097
430,0.403452486,1.117585897,0.462707996,0.029870374,0.243614137,0.188118339,0.339316905,0.398494542,1.601507664,0.239119291,0.404390007,0.083398923
429,0.405917943,1.122498155,0.47641477,0.030051177,0.246206552,0.18863377,0.347870022,0.40751037,1.63124752,0.241915539,0.404922217,0.083594948
428,0.407908976,1.127955794,0.490047813,0.03023028,0.2484155,0.188447371,0.356142849,0.416858584,1.659125566,0.244687378,0.405625552,0.083495893
427,0.410130024,1.132367253,0.503216207,0.030502085,0.250724047,0.189296797,0.365540952,0.427254021,1.689558148,0.246583492,0.40641728,0.083828703
426,0.412119865,1.135836124,0.517609358,0.030206554,0.253087938,0.189199984,0.374219418,0.437318385,1.718542337,0.248918012,0.407785207,0.083906166
425,0.415076584,1.141755819,0.533600211,0.031535838,0.255587846,0.189807892,0.384634286,0.448239982,1.746701479,0.251059145,0.408621281,0.084518105
424,0.416137129,1.14640975,0.549881458,0.030977063,0.258741438,0.190541163,0.394067437,0.458959401,1.7757231,0.25438726,0.409955889,0.084112495
423,0.418459237,1.151857495,0.565945029,0.031232897,0.260791361,0.191027328,0.404297888,0.470539987,1.806552529,0.258535773,0.411437869,0.084598303
422,0.420565665,1.156733155,0.583004534,0.031371694,0.263755977,0.190586001,0.415877551,0.482488662,1.836809397,0.262951165,0.412636399,0.084378719
421,0.422838599,1.161424279,0.60054338,0.031890634,0.266594738,0.191623673,0.426462501,0.494855911,1.868805885,0.267561108,0.413986802,0.084417701
420,0.424424261,1.166828752,0.619789124,0.032111414,0.269401372,0.191816926,0.438245535,0.507047236,1.900822282,0.271906406,0.415472239,0.084613211
419,0.426792443,1.173585296,0.637724102,0.032359019,0.272594422,0.19195959,0.450267822,0.521280944,1.934278488,0.276345909,0.416589707,0.084843077
418,0.429557055,1.176644564,0.658992231,0.033439334,0.275661647,0.192699239,0.463140607,0.534103036,1.965570331,0.280319095,0.416520417,0.084065281
417,0.431525052,1.18204236,0.678358913,0.033289757,0.279271841,0.193252131,0.476549566,0.548722267,2.000261784,0.285449296,0.419615507,0.08585538
416,0.434052765,1.188359261,0.699375868,0.033201311,0.281688124,0.194311336,0.489982784,0.562750816,2.030814648,0.28967005,0.420746803,0.085550673
415,0.437047035,1.194226742,0.72257942,0.033223834,0.285301983,0.194019243,0.502075672,0.579341471,2.062400103,0.294462264,0.422060102,0.085916042
414,0.440338254,1.200834394,0.745247543,0.034124732,0.288659245,0.194580421,0.516628087,0.593583882,2.097401381,0.300867319,0.423660934,0.08549381
413,0.442118764,1.206039906,0.769684434,0.03434379,0.292258859,0.194787502,0.532070696,0.609813213,2.127072096,0.307475567,0.425330132,0.08581917
412,0.444717377,1.21209991,0.793691933,0.034664273,0.296381205,0.195037365,0.546556771,0.62625289,2.16478467,0.313421458,0.426990748,0.085694186
411,0.448135436,1.21934545,0.819886267,0.035532851,0.301158518,0.195181385,0.563281417,0.642980516,2.195630789,0.319916219,0.428970248,0.085678764
410,0.451195985,1.224347591,0.846920669,0.035584744,0.305859715,0.195314243,0.578934252,0.660552204,2.228909969,0.32649526,0.430438072,0.085514046
409,0.455120862,1.232620597,0.874362826,0.036672138,0.310573012,0.195692137,0.59535867,0.679269314,2.264830351,0.333469868,0.432298899,0.085630588
