Wavelength (nm),HL1,HL2,HL3
200,3.749461412,3.433495522,4.051969051
201,3.802757263,3.406764269,4.129603386
202,3.84095788,3.42728734,4.319528103
203,3.823224068,3.458617926,4.31045723
204,3.861717463,3.486847401,4.250991344
205,3.885284662,3.480334282,4.319478512
206,3.802500486,3.435604334,4.186381817
207,3.838470459,3.48684144,4.253000259
208,3.821354628,3.457971096,4.206433773
209,3.789088488,3.432342529,4.192224503
210,3.776240826,3.419308662,4.156628609
211,3.831018448,3.441903591,4.175839901
212,3.808446407,3.463905334,4.151868343
213,3.862668037,3.496043921,4.311727524
214,3.987324953,3.507936954,4.464961052
215,3.915107489,3.467999697,4.38601923
216,3.904707909,3.479694128,4.414652824
217,3.942729712,3.502661467,4.319992542
218,3.9039464,3.483462811,4.365522861
219,3.861449242,3.478434086,4.366908073
220,3.884878397,3.485608578,4.349131107
221,3.892378807,3.491075039,4.271677017
222,3.867149115,3.463567257,4.291800499
223,3.846699953,3.485963821,4.275002956
224,3.837711811,3.482209206,4.282745838
225,3.834516764,3.472718239,4.223748684
226,3.840432882,3.469120741,4.229181767
227,3.844712734,3.47149682,4.218929768
228,3.827729464,3.48175621,4.225353241
229,3.857341766,3.489319086,4.280704975
230,3.855187416,3.480201721,4.221137047
231,3.845215321,3.490697622,4.215269089
232,3.817342043,3.488009453,4.200391769
233,3.834677935,3.507830143,4.19945097
234,3.835586786,3.495062351,4.160937309
235,3.858545542,3.501647711,4.222382069
236,3.862238884,3.496709824,4.273356438
237,3.862212181,3.484819651,4.217778683
238,3.849055767,3.515503168,4.178675175
239,3.850281954,3.49953866,4.218228817
240,3.860582352,3.503111362,4.226712704
241,3.885505676,3.496045828,4.27150774
242,3.911872864,3.500423431,4.205753326
243,3.917092085,3.506829739,4.262036324
244,3.936918736,3.523765802,4.273693085
245,3.919412851,3.529794931,4.238092899
246,3.918404341,3.516798258,4.30804491
247,3.925421476,3.518182278,4.272154808
248,3.940838814,3.524478197,4.277965069
249,3.930000305,3.525768757,4.291269779
250,3.944815874,3.54034996,4.279319763
251,3.932952404,3.520865202,4.295506001
252,3.952126265,3.541287661,4.32927227
253,3.973342896,3.530889273,4.325247765
254,3.973098278,3.551932573,4.318388462
255,3.984318495,3.557636976,4.388016224
256,3.955845118,3.549644947,4.349647522
257,3.996788502,3.557547331,4.393316746
258,3.979519844,3.555332899,4.382386684
259,3.977438688,3.561706066,4.349299908
260,3.971775055,3.572664738,4.438826084
261,4.013530254,3.583583832,4.401995659
262,4.030830383,3.567593575,4.4328022
263,4.010932446,3.562578678,4.456251621
264,4.067574978,3.580370665,4.433597088
265,4.021071434,3.548389435,4.507576466
266,4.011058331,3.582862854,4.42769146
267,4.021196365,3.586936712,4.590602398
268,4.03580761,3.580692768,4.575438023
269,4.017167091,3.608609438,4.549850464
270,4.059810638,3.597850323,4.639748096
271,4.058649063,3.607542992,4.536886215
272,4.06157589,3.595842361,4.597914219
273,4.0006814,3.58755064,4.604166985
274,3.988102913,3.560586691,4.411441803
275,4.02376461,3.589075327,4.488155365
276,4.041818142,3.565568447,4.472486973
277,4.004637718,3.59920311,4.431726933
